track_name,danceability,energy,loudness,speechiness,acousticness,valence,instrumentalness,liveness,tempo,performer
The Time Is Now (John Cena),0.548,0.955,-4.725,0.254,0.0558,0.314,1.07e-06,0.165,174.25,John Cena
The Game (Triple H),0.34,0.935,-7.143,0.0972,0.00249,0.289,0.0,0.0824,170.272,Triple H
Voices (Randy Orton) [feat. Rev Theory],0.48,0.648,-10.809,0.0293,0.000387,0.672,0.0,0.118,165.012,Randy Orton [feat. Rev Theory]
Next Big Thing (Brock Lesnar),0.647,0.881,-7.866,0.0395,0.000471,0.743,0.621,0.335,95.3,Brock Lesnar
Special Op (The Shield),0.589,0.673,-9.881,0.0277,6.39e-06,0.466,0.785,0.308,108.988,The Shield
Are You Ready? (Extended Version) [D-Generation X],0.42,0.874,-7.412,0.383,0.0087,0.554,0.000102,0.296,173.253,Extended Version [D-Generation X]
Electrifying (The Rock),0.333,0.636,-15.425,0.0315,7.06e-05,0.73,0.823,0.366,84.857,The Rock
I Came To Play (The Miz),0.518,0.908,-5.44,0.0709,9.28e-05,0.463,1.21e-06,0.69,92.02,The Miz
Meat on the Table (Ryback),0.594,0.5,-12.387,0.0268,1.46e-05,0.512,8.02e-06,0.172,95.033,Ryback
Written in My Face (Sheamus),0.389,0.869,-3.943,0.04,5.18e-05,0.496,2.29e-06,0.336,143.897,Sheamus
Stars in the Night (Paige),0.401,0.887,-6.028,0.0444,1.77e-05,0.424,0.000123,0.605,83.939,Paige
Retaliation (Dean Ambrose),0.284,0.925,-7.421,0.101,0.00317,0.599,0.906,0.206,89.631,Dean Ambrose
The Second Coming (Seth Rollins),0.743,0.775,-7.324,0.0732,2.63e-05,0.614,0.622,0.103,95.002,Seth Rollins
Live in Fear (Bray Wyatt),0.516,0.401,-8.698,0.0284,0.00153,0.582,0.916,0.162,110.056,Bray Wyatt
Radio (Zack Ryder),0.704,0.456,-11.76,0.0426,0.0278,0.723,0.00106,0.108,139.967,Zack Ryder
I Walk Alone (Batista),0.391,0.876,-4.096,0.0316,7.77e-05,0.299,0.012,0.0714,150.131,Batista
Whatever,0.384,0.936,-3.776,0.0579,0.00037,0.474,0.238,0.157,171.828,
Burn In My Light (Randy Orton),0.534,0.814,-4.747,0.0333,8.07e-05,0.373,2.51e-05,0.111,126.002,Randy Orton
Real American (Hulk Hogan),0.626,0.936,-4.339,0.0469,0.00529,0.827,0.000197,0.603,125.644,Hulk Hogan
This Fire Burns (CM Punk),0.443,0.984,-4.753,0.0923,9.38e-06,0.14,0.0692,0.558,140.041,CM Punk
Flight Of The Valkyries (Daniel Bryan),0.469,0.897,-3.849,0.0384,2.16e-05,0.165,0.847,0.124,114.991,Daniel Bryan
Break Down the Wall (Chris Jericho),0.503,0.808,-5.779,0.036,8.39e-06,0.326,0.113,0.405,146.948,Chris Jericho
Medal (Kurt Angle),0.639,0.695,-4.062,0.0283,0.0541,0.475,0.59,0.271,102.095,Kurt Angle
Here To Show The World (Dolph Ziggler),0.583,0.846,-8.524,0.0517,0.0019,0.649,0.0,0.263,133.906,Dolph Ziggler
My Time (Triple H / Chyna),0.52,0.816,-6.73,0.0718,0.00107,0.528,0.374,0.877,82.492,Triple H / Chyna
You're Gonna Pay (Undertaker),0.553,0.801,-4.56,0.0311,0.0243,0.886,0.0,0.571,90.438,Undertaker
No More Words (Jeff Hardy),0.542,0.59,-16.353,0.0342,1.1e-05,0.882,0.0005,0.104,137.985,Jeff Hardy
Sexy Boy (Shawn Michaels),0.624,0.932,-4.841,0.0774,0.144,0.614,3.21e-06,0.152,118.702,Shawn Michaels
Just Close Your Eyes (Christian),0.492,0.95,-3.843,0.0601,0.0442,0.329,1.45e-06,0.131,99.989,Christian
Somebody Call My Momma (Brodus Clay),0.709,0.94,-5.792,0.0436,0.0337,0.722,4.17e-06,0.0423,105.014,Brodus Clay
Welcome to the Queendom (Stephanie McMahon),0.911,0.479,-13.575,0.171,0.336,0.678,5.28e-06,0.107,100.901,Stephanie McMahon
